species,PLA2,SVSP,SVMP,TFTx
Boiga_irregularis,-0.461474263,-0.463327573,0.688226777,2.662975226
Dispholidus_typus,-0.104677329,-0.196308172,2.820528238,-0.165764558
Hypsiglena_torquata,-0.463654083,-0.463654083,2.751484952,-0.460376482
Opheodrys_aestivus,0.451182501,-0.399213836,-0.399213836,2.742528187
Pantherophis_guttatus,2.799948184,-0.399284019,-0.399284019,-0.151281523
Phalotris_mertensi,-0.614282336,-0.599651816,0.851429766,-0.494578081
Philodryas_olfersii,-0.60296453,-0.065788923,2.559732303,-0.60296453
Thamnodynastes_strigatus,-0.350017771,-0.323558544,2.840208993,-0.342457991
Agkistrodon_piscivorus,1.990299363,-0.065786707,1.718032258,-0.622391873
Atropoides_picadoi,-0.433685706,0.068901152,2.71040417,-0.544722337
Bothriechis_lateralis,-0.456668445,0.063071096,2.486181118,-0.554997548
Bothriechis_schlegelii,0.056198841,1.30629117,1.947931481,-0.563315942
Bothrops_alternatus,-0.479633583,-0.272798588,2.712333505,-0.557895474
Bothrops_asper,0.629938609,0.297477307,2.42825202,-0.65457097
Bothrops_atrox,0.24946232,-0.091682733,2.754746303,-0.528774832
Bothrops_colombiensis,1.55948238,0.222783197,2.07930984,-0.668349592
Bothrops_insularis,-0.353818719,0.093272473,2.559982499,-0.770076036
Bothrops_jararaca,-0.437746754,1.13186312,2.352670799,-0.688884333
Bothrops_jararacussu,2.563784766,-0.453846945,0.879615186,-0.547534751
Bothrops_moojeni,0.015482943,1.11791987,2.431721453,-0.56014846
Bothrops_neuwiedi,1.309113699,-0.351479006,2.06464403,-0.768594709
Cerrophidion_godmani,-0.119614214,1.301684098,2.293778465,-0.633251723
Crotalus_adamanteus,-0.036658246,1.174566834,1.615600471,-0.814016112
Crotalus_durissus,2.841621333,-0.26328121,-0.245123885,-0.354067834
Crotalus_horridus,0.697123033,2.604500193,-0.521904912,-0.527876057
Crotalus_simus,0.470231233,2.268008945,-0.158990966,0.537647897
Crotalus_scutulatus,1.139130093,0.378206741,0.69190118,-0.994955142
Gloydius_intermedius,0.511671709,1.79412254,1.139810892,-1.084848713
Lachesis_muta,-0.231127239,-0.284773794,-0.177480685,-0.369714172
Ovophis_okinavensis,-0.316914198,2.842844084,-0.184914335,-0.340816777
Protobothrops_elegans,2.810926895,0.02381373,-0.07229362,-0.410758638
Protobothrops_mucrosquamatus,1.046471192,1.199064792,1.977750588,-0.639655344
Protobothrops_flavoviridis,1.899926058,0.095307031,1.458144501,-0.850915279
Sistrurus_catenatus,1.41929776,2.149960947,0.193269701,-0.68832497
Bungarus_flaviceps,1.559973376,-0.612242656,-0.612242656,1.804132426
Bungarus_multicinctus,0.378668488,-0.478787643,-0.483744037,2.723042766
Drysdalia_coronoides,-0.361898589,-0.028433826,-0.370830681,2.829835575
Micrurus_altirostris,-0.177729566,-0.359161832,-0.336945636,2.839970361
Micrurus_corallinus,1.977815763,-0.699934584,-0.557425252,0.739409669
Micrurus_fulvius,2.647357137,-0.473209269,-0.331612132,0.73567568
Micrurus_lemniscatus,0.363409333,-0.4527582,-0.404074522,2.750818688
Micrurus_spixii,1.216401792,-0.454790159,-0.454790159,2.421919481
Micrurus_surinamensis,0.840437155,-0.505966472,-0.498780177,2.58619344
Naja_atra,-0.288225932,-0.327981232,-0.314729465,2.845816956
Naja_kaouthia,0.148517432,-0.380235729,-0.337468929,2.807834797
Ophiophagus_hannah,-0.342391438,-0.576323477,1.103733891,2.422259926
Pseudonaja_textilis,0.80219832,2.538965324,-0.57063426,0.206729081
Bitis_gabonica,-0.261662812,0.549678091,2.608464581,-0.768750876
Echis_carinatus,-0.080315487,-0.254442424,2.735228548,-0.49634931
Echis_coloratus,-0.21466819,-0.259222055,2.808335544,-0.474613646
Echis_ocellatus,-0.061072649,-0.335892953,2.805156255,-0.440599004
Echis_pyramidum,0.634096441,-0.478528704,2.393863754,-0.596903263
